Country,Confirmed,Date
Spain,921374,2020-10-15T00:00:00Z
Spain,936560,2020-10-16T00:00:00Z
Spain,936560,2020-10-17T00:00:00Z
Spain,936560,2020-10-18T00:00:00Z
Spain,974449,2020-10-19T00:00:00Z
Spain,988322,2020-10-20T00:00:00Z
Spain,1005295,2020-10-21T00:00:00Z
Spain,1026281,2020-10-22T00:00:00Z
Spain,1046132,2020-10-23T00:00:00Z
Spain,1046132,2020-10-24T00:00:00Z
Spain,1046132,2020-10-25T00:00:00Z
Spain,1098320,2020-10-26T00:00:00Z
Spain,1116738,2020-10-27T00:00:00Z
Spain,1136503,2020-10-28T00:00:00Z
Spain,1160083,2020-10-29T00:00:00Z
Spain,1185678,2020-10-30T00:00:00Z
Spain,1185678,2020-10-31T00:00:00Z
Spain,1185678,2020-11-01T00:00:00Z
Spain,1240697,2020-11-02T00:00:00Z
Spain,1259366,2020-11-03T00:00:00Z
Spain,1284408,2020-11-04T00:00:00Z
Spain,1306316,2020-11-05T00:00:00Z
Spain,1328832,2020-11-06T00:00:00Z
Spain,1328832,2020-11-07T00:00:00Z
Spain,1328832,2020-11-08T00:00:00Z
Spain,1381218,2020-11-09T00:00:00Z
Spain,1381218,2020-11-10T00:00:00Z
Spain,1417709,2020-11-11T00:00:00Z
Spain,1437220,2020-11-12T00:00:00Z
Spain,1458591,2020-11-13T00:00:00Z
Spain,1458591,2020-11-14T00:00:00Z
Spain,1458591,2020-11-15T00:00:00Z
Spain,1496864,2020-11-16T00:00:00Z
Spain,1510023,2020-11-17T00:00:00Z
Spain,1525341,2020-11-18T00:00:00Z
Spain,1541574,2020-11-19T00:00:00Z
Spain,1556730,2020-11-20T00:00:00Z
Spain,1556730,2020-11-21T00:00:00Z
Spain,1556730,2020-11-22T00:00:00Z
Spain,1582616,2020-11-23T00:00:00Z
Spain,1594844,2020-11-24T00:00:00Z
Spain,1605066,2020-11-25T00:00:00Z
Spain,1617355,2020-11-26T00:00:00Z
Spain,1628208,2020-11-27T00:00:00Z
Spain,1628208,2020-11-28T00:00:00Z
Spain,1628208,2020-11-29T00:00:00Z
Spain,1648187,2020-11-30T00:00:00Z
Spain,1656444,2020-12-01T00:00:00Z
Spain,1665775,2020-12-02T00:00:00Z
Spain,1675902,2020-12-03T00:00:00Z
Spain,1684647,2020-12-04T00:00:00Z
Spain,1684647,2020-12-05T00:00:00Z
Spain,1684647,2020-12-06T00:00:00Z
Spain,1702328,2020-12-07T00:00:00Z
Spain,1702328,2020-12-08T00:00:00Z
Spain,1712101,2020-12-09T00:00:00Z
Spain,1720056,2020-12-10T00:00:00Z
Spain,1730575,2020-12-11T00:00:00Z
Spain,1730575,2020-12-12T00:00:00Z
Spain,1730575,2020-12-13T00:00:00Z
Spain,1751884,2020-12-14T00:00:00Z
Spain,1762212,2020-12-15T00:00:00Z
Spain,1773290,2020-12-16T00:00:00Z
Spain,1785421,2020-12-17T00:00:00Z
Spain,1797236,2020-12-18T00:00:00Z
Spain,1797236,2020-12-19T00:00:00Z
Spain,1797236,2020-12-20T00:00:00Z
Spain,1819249,2020-12-21T00:00:00Z
Spain,1829903,2020-12-22T00:00:00Z
Spain,1842289,2020-12-23T00:00:00Z
Spain,1854951,2020-12-24T00:00:00Z
Spain,1854951,2020-12-25T00:00:00Z
Spain,1854951,2020-12-26T00:00:00Z
Spain,1854951,2020-12-27T00:00:00Z
Spain,1879413,2020-12-28T00:00:00Z
Spain,1893502,2020-12-29T00:00:00Z
Spain,1910218,2020-12-30T00:00:00Z
Spain,1928265,2020-12-31T00:00:00Z
Spain,1928265,2021-01-01T00:00:00Z
Spain,1928265,2021-01-02T00:00:00Z
Spain,1928265,2021-01-03T00:00:00Z
Spain,1958844,2021-01-04T00:00:00Z
Spain,1982544,2021-01-05T00:00:00Z
Spain,1982544,2021-01-06T00:00:00Z
Spain,2024904,2021-01-07T00:00:00Z
Spain,2050360,2021-01-08T00:00:00Z
Spain,2050360,2021-01-09T00:00:00Z
Spain,2050360,2021-01-10T00:00:00Z
Spain,2111782,2021-01-11T00:00:00Z
Spain,2137220,2021-01-12T00:00:00Z
Spain,2176089,2021-01-13T00:00:00Z
Spain,2211967,2021-01-14T00:00:00Z
Spain,2252164,2021-01-15T00:00:00Z
Spain,2252164,2021-01-16T00:00:00Z
Spain,2252164,2021-01-17T00:00:00Z
Spain,2336451,2021-01-18T00:00:00Z
Spain,2370742,2021-01-19T00:00:00Z
Spain,2412318,2021-01-20T00:00:00Z
Spain,2456675,2021-01-21T00:00:00Z
Spain,2499560,2021-01-22T00:00:00Z
Spain,2499560,2021-01-23T00:00:00Z
Spain,2499560,2021-01-24T00:00:00Z
Spain,2593382,2021-01-25T00:00:00Z
Spain,2629817,2021-01-26T00:00:00Z
Spain,2670102,2021-01-27T00:00:00Z
Spain,2705001,2021-01-28T00:00:00Z
Spain,2743119,2021-01-29T00:00:00Z
Spain,2743119,2021-01-30T00:00:00Z
Spain,2743119,2021-01-31T00:00:00Z
Spain,2822805,2021-02-01T00:00:00Z
Spain,2851869,2021-02-02T00:00:00Z
Spain,2883465,2021-02-03T00:00:00Z
Spain,2913425,2021-02-04T00:00:00Z
Spain,2941990,2021-02-05T00:00:00Z
Spain,2941990,2021-02-06T00:00:00Z
Spain,2941990,2021-02-07T00:00:00Z
Spain,2989085,2021-02-08T00:00:00Z
Spain,3005487,2021-02-09T00:00:00Z
Spain,3023601,2021-02-10T00:00:00Z
Spain,3041454,2021-02-11T00:00:00Z
Spain,3056035,2021-02-12T00:00:00Z
Spain,3056035,2021-02-13T00:00:00Z
Spain,3056035,2021-02-14T00:00:00Z
Spain,3086286,2021-02-15T00:00:00Z
Spain,3096343,2021-02-16T00:00:00Z
Spain,3107172,2021-02-17T00:00:00Z
Spain,3121687,2021-02-18T00:00:00Z
Spain,3133122,2021-02-19T00:00:00Z
Spain,3133122,2021-02-20T00:00:00Z
Spain,3133122,2021-02-21T00:00:00Z
Spain,3153971,2021-02-22T00:00:00Z
Spain,3161432,2021-02-23T00:00:00Z
Spain,3170644,2021-02-24T00:00:00Z
Spain,3180212,2021-02-25T00:00:00Z
Spain,3188553,2021-02-26T00:00:00Z
Spain,3188553,2021-02-27T00:00:00Z
Spain,3188553,2021-02-28T00:00:00Z
Spain,3204531,2021-03-01T00:00:00Z
Spain,3130184,2021-03-02T00:00:00Z
Spain,3136321,2021-03-03T00:00:00Z
Spain,3142358,2021-03-04T00:00:00Z
Spain,3149012,2021-03-05T00:00:00Z
Spain,3149012,2021-03-06T00:00:00Z
Spain,3149012,2021-03-07T00:00:00Z
Spain,3160970,2021-03-08T00:00:00Z
Spain,3164982,2021-03-09T00:00:00Z
Spain,3172101,2021-03-10T00:00:00Z
Spain,3178356,2021-03-11T00:00:00Z
Spain,3183704,2021-03-12T00:00:00Z
Spain,3183704,2021-03-13T00:00:00Z
Spain,3183704,2021-03-14T00:00:00Z
Spain,3195062,2021-03-15T00:00:00Z
Spain,3200024,2021-03-16T00:00:00Z
Spain,3206116,2021-03-17T00:00:00Z
Spain,3212332,2021-03-18T00:00:00Z
Spain,3212332,2021-03-19T00:00:00Z
Spain,3212332,2021-03-20T00:00:00Z
Spain,3212332,2021-03-21T00:00:00Z
Spain,3228803,2021-03-22T00:00:00Z
Spain,3234319,2021-03-23T00:00:00Z
Spain,3234319,2021-03-24T00:00:00Z
Spain,3247738,2021-03-25T00:00:00Z
Spain,3255324,2021-03-26T00:00:00Z
Spain,3255324,2021-03-27T00:00:00Z
Spain,3255324,2021-03-28T00:00:00Z
Spain,3270825,2021-03-29T00:00:00Z
Spain,3275819,2021-03-30T00:00:00Z
Spain,3284353,2021-03-31T00:00:00Z
Spain,3291394,2021-04-01T00:00:00Z
Spain,3291394,2021-04-02T00:00:00Z
Spain,3300965,2021-04-03T00:00:00Z
Spain,3300965,2021-04-04T00:00:00Z
Spain,3311325,2021-04-05T00:00:00Z
Spain,3317948,2021-04-06T00:00:00Z
Spain,3326736,2021-04-07T00:00:00Z
Spain,3336637,2021-04-08T00:00:00Z
Spain,3347512,2021-04-09T00:00:00Z
Spain,3347512,2021-04-10T00:00:00Z
Spain,3347512,2021-04-11T00:00:00Z
Spain,3370256,2021-04-12T00:00:00Z
Spain,3376548,2021-04-13T00:00:00Z
Spain,3387022,2021-04-14T00:00:00Z
Spain,3396685,2021-04-15T00:00:00Z
Spain,3407283,2021-04-16T00:00:00Z
Spain,3407283,2021-04-17T00:00:00Z
Spain,3407283,2021-04-18T00:00:00Z
Spain,3428354,2021-04-19T00:00:00Z
Spain,3428354,2021-04-20T00:00:00Z
Spain,3446072,2021-04-21T00:00:00Z
